NAME,TotalPop,White_NonHisp,Black,Asian,Hispanic,MedianIncome,BelowPoverty,BachelorsOrHigher,Male_Under18,Female_Under18,Male_18_34,Female_18_34,Male_35_64,Female_35_64,Male_65plus,Female_65plus,LaborForce,Unemployed,NoHealthInsurance,MedianRent,STATE,COUNTY,TRACT,TRACT_FIPS,Age_Under18,Age_18_34,Age_35_64,Age_65plus,Pct_Black,Pct_Hispanic,Pct_Asian,Pct_WhiteNonHisp,Pct_BelowPoverty,Pct_BachelorsPlus,Pct_Unemployed,Pct_Uninsured
Census Tract 6606; Cook County; Illinois,5514,119,2028,0,3015,39913,1379,426,106,381,59,0,111,61,11,23,1834,313,224,1149,17,31,660600,17031660600,487,59,172,34,36.779107725788904,54.678998911860724,0.0,2.158142908959013,25.00906782734857,7.725788900979326,17.066521264994545,4.0623866521581435
Census Tract 6607; Cook County; Illinois,1726,0,1308,5,413,32864,478,86,0,53,76,0,29,92,9,0,750,223,55,999,17,31,660700,17031660700,53,76,121,9,75.7821552723059,23.92815758980301,0.28968713789107764,0.0,27.69409038238702,4.9826187717265356,29.733333333333334,3.186558516801854
Census Tract 6608; Cook County; Illinois,6022,65,2872,51,2854,43569,2158,319,317,224,28,125,30,302,63,91,2458,139,79,1097,17,31,660800,17031660800,541,153,332,154,47.691796745267354,47.392892726668876,0.8468947193623381,1.0793756227167055,35.83527067419462,5.29724344071737,5.6550040683482505,1.3118565260710728
Census Tract 6609; Cook County; Illinois,5315,135,3141,0,1952,45572,1682,140,311,368,128,0,130,153,0,6,2330,368,254,1165,17,31,660900,17031660900,679,128,283,6,59.09689557855127,36.726246472248356,0.0,2.539981185324553,31.64628410159925,2.634054562558796,15.793991416309014,4.77892756349953
Census Tract 6610; Cook County; Illinois,5085,108,2903,31,1619,49652,1323,213,137,70,115,20,84,28,63,61,2460,254,151,1286,17,31,661000,17031661000,207,135,112,124,57.08947885939036,31.83874139626352,0.6096361848574238,2.1238938053097343,26.017699115044245,4.188790560471976,10.325203252032521,2.9695181907571286
Census Tract 6611; Cook County; Illinois,7195,217,1780,2,5153,69196,836,469,81,0,200,210,142,204,87,68,3840,511,162,1724,17,31,661100,17031661100,81,410,346,155,24.73940236275191,71.61917998610146,0.02779708130646282,3.015983321751216,11.619179986101459,6.518415566365531,13.307291666666668,2.2515635858234884
Census Tract 6701; Cook County; Illinois,1434,19,861,0,554,36313,363,73,85,0,41,0,7,58,26,15,473,101,56,853,17,31,670100,17031670100,85,41,65,41,60.04184100418411,38.633193863319384,0.0,1.3249651324965133,25.313807531380757,5.090655509065551,21.353065539112052,3.905160390516039
Census Tract 6702; Cook County; Illinois,1319,0,1244,0,75,96152,334,231,10,32,0,210,0,8,36,0,723,12,24,1495,17,31,670200,17031670200,42,210,8,36,94.31387414708112,5.686125852918878,0.0,0.0,25.322213798332072,17.513267626990146,1.6597510373443984,1.819560272934041
Census Tract 6703; Cook County; Illinois,1371,61,1112,0,197,35038,539,72,56,8,10,36,0,73,12,8,558,66,83,1048,17,31,670300,17031670300,64,46,73,20,81.10867979576952,14.36907366885485,0.0,4.449307075127644,39.31436907366886,5.25164113785558,11.827956989247312,6.0539752005835155
Census Tract 6704; Cook County; Illinois,1478,15,1235,0,219,33482,480,86,48,0,7,19,18,18,0,11,613,136,19,1267,17,31,670400,17031670400,48,26,36,11,83.55886332882272,14.817320703653586,0.0,1.0148849797023005,32.47631935047362,5.818673883626523,22.185970636215334,1.2855209742895806
Census Tract 6705; Cook County; Illinois,1177,8,675,70,424,29856,607,53,90,40,10,0,10,8,63,11,314,38,0,1202,17,31,670500,17031670500,130,10,18,74,57.34919286321155,36.023789294817334,5.9473237043330505,0.6796941376380629,51.57179269328802,4.502973661852167,12.101910828025478,0.0
Census Tract 6706; Cook County; Illinois,1311,9,700,0,588,39000,546,94,11,48,39,18,43,19,29,0,483,56,137,1591,17,31,670600,17031670600,59,57,62,29,53.394355453852015,44.8512585812357,0.0,0.6864988558352403,41.64759725400457,7.170099160945844,11.594202898550725,10.450038138825324
Census Tract 6707; Cook County; Illinois,942,0,514,0,321,29541,449,28,62,27,9,0,0,39,10,8,427,155,25,988,17,31,670700,17031670700,89,9,39,18,54.56475583864119,34.07643312101911,0.0,0.0,47.66454352441614,2.9723991507431,36.29976580796253,2.6539278131634823
Census Tract 6708; Cook County; Illinois,1121,6,926,0,185,43145,241,61,46,6,4,0,0,0,14,42,553,102,42,1148,17,31,670800,17031670800,52,4,0,56,82.60481712756467,16.503122212310437,0.0,0.535236396074933,21.49866190900981,5.44157002676182,18.44484629294756,3.746654772524532
Census Tract 6709; Cook County; Illinois,1110,0,825,0,285,30542,419,37,0,19,37,0,0,43,0,32,452,82,0,972,17,31,670900,17031670900,19,37,43,32,74.32432432432432,25.675675675675674,0.0,0.0,37.747747747747745,3.3333333333333335,18.141592920353983,0.0
Census Tract 6711; Cook County; Illinois,892,0,892,0,0,15735,578,18,0,48,0,0,6,0,4,0,198,77,141,1036,17,31,671100,17031671100,48,0,6,4,100.0,0.0,0.0,0.0,64.79820627802691,2.0179372197309418,38.88888888888889,15.807174887892378
Census Tract 6712; Cook County; Illinois,754,11,495,0,236,42143,199,64,85,41,8,19,46,14,0,6,347,104,40,1065,17,31,671200,17031671200,126,27,60,6,65.6498673740053,31.29973474801061,0.0,1.4588859416445623,26.392572944297083,8.488063660477453,29.971181556195965,5.305039787798409
Census Tract 6713; Cook County; Illinois,1662,0,1341,0,321,29563,655,84,15,138,0,0,0,48,8,20,586,124,11,-666666666,17,31,671300,17031671300,153,0,48,28,80.68592057761734,19.314079422382672,0.0,0.0,39.41034897713598,5.054151624548736,21.160409556313994,0.6618531889290011
Census Tract 6714; Cook County; Illinois,1507,0,865,0,372,29469,645,20,0,136,1,0,11,0,0,9,584,59,91,1152,17,31,671400,17031671400,136,1,11,9,57.39880557398806,24.684804246848042,0.0,0.0,42.80026542800265,1.3271400132714002,10.102739726027398,6.03848706038487
Census Tract 6715; Cook County; Illinois,2440,9,2075,0,343,43203,609,184,51,56,66,38,0,175,57,22,1151,148,15,1261,17,31,671500,17031671500,107,104,175,79,85.04098360655738,14.057377049180328,0.0,0.36885245901639346,24.959016393442624,7.540983606557377,12.858384013900956,0.6147540983606558
Census Tract 6716; Cook County; Illinois,1737,18,1623,87,9,25849,620,57,5,100,0,0,0,0,0,2,813,238,82,994,17,31,671600,17031671600,105,0,0,2,93.43696027633851,0.5181347150259068,5.008635578583765,1.0362694300518136,35.6937248128958,3.281519861830743,29.274292742927425,4.720782959124928
Census Tract 6718; Cook County; Illinois,1222,3,835,0,311,52125,430,47,118,80,0,0,36,33,10,29,525,128,18,1725,17,31,671800,17031671800,198,0,69,39,68.33060556464812,25.450081833060555,0.0,0.24549918166939444,35.188216039279865,3.8461538461538463,24.38095238095238,1.4729950900163666
Census Tract 6719; Cook County; Illinois,1070,0,778,29,263,36337,84,28,12,24,0,0,66,24,18,0,580,73,0,1638,17,31,671900,17031671900,36,0,90,18,72.71028037383176,24.57943925233645,2.710280373831776,0.0,7.850467289719626,2.6168224299065423,12.586206896551724,0.0
Census Tract 6720; Cook County; Illinois,3060,1,2362,0,601,45192,641,121,188,46,0,69,65,113,1,25,1126,156,34,1454,17,31,672000,17031672000,234,69,178,26,77.18954248366013,19.640522875816995,0.0,0.0326797385620915,20.947712418300654,3.9542483660130716,13.854351687388988,1.1111111111111112
Census Tract 6805; Cook County; Illinois,1412,87,942,0,383,42639,340,59,40,0,61,78,0,24,5,7,731,100,78,1486,17,31,680500,17031680500,40,139,24,12,66.71388101983003,27.124645892351275,0.0,6.161473087818696,24.07932011331445,4.1784702549575075,13.679890560875513,5.524079320113314
Census Tract 6806; Cook County; Illinois,996,0,996,0,0,52237,168,81,19,49,0,37,0,17,0,0,489,79,0,1209,17,31,680600,17031680600,68,37,17,0,100.0,0.0,0.0,0.0,16.867469879518072,8.132530120481928,16.155419222903884,0.0
