NAME,TotalPop,White_NonHisp,Black,Asian,Hispanic,MedianIncome,BelowPoverty,BachelorsOrHigher,Male_Under18,Female_Under18,Male_18_34,Female_18_34,Male_35_64,Female_35_64,Male_65plus,Female_65plus,LaborForce,Unemployed,NoHealthInsurance,MedianRent,STATE,COUNTY,TRACT,TRACT_FIPS
Census Tract 6806; Cook County; Illinois,996,0,996,0,0,52237,168,81,19,49,0,37,0,17,0,0,489,79,0,1209,17,031,680600,17031680600
Census Tract 6809; Cook County; Illinois,3307,62,3044,32,35,18333,1253,215,140,41,6,60,0,17,30,24,1393,460,120,991,17,031,680900,17031680900
Census Tract 6810; Cook County; Illinois,2561,1,2068,43,285,27844,960,148,37,0,147,33,60,64,39,59,1088,270,0,1008,17,031,681000,17031681000
Census Tract 6811; Cook County; Illinois,2105,3,1937,0,165,36083,582,166,83,66,0,26,53,86,62,63,812,81,0,1083,17,031,681100,17031681100
Census Tract 6812; Cook County; Illinois,2009,87,1756,0,0,23250,912,122,29,26,44,1,0,53,33,82,748,143,0,863,17,031,681200,17031681200
Census Tract 6813; Cook County; Illinois,2103,6,2000,79,18,21888,782,126,56,59,65,36,92,79,0,44,804,170,0,1331,17,031,681300,17031681300
Census Tract 6814; Cook County; Illinois,1826,3,1792,1,0,51835,146,194,0,107,0,57,49,71,0,52,862,87,0,1522,17,031,681400,17031681400
Census Tract 6903; Cook County; Illinois,1974,90,1842,0,40,34978,427,163,0,0,33,0,66,0,38,16,743,120,4,902,17,031,690300,17031690300
Census Tract 6904; Cook County; Illinois,3217,0,3118,96,0,46313,510,375,186,37,127,0,28,199,13,37,1731,282,0,1147,17,031,690400,17031690400
Census Tract 6905; Cook County; Illinois,807,0,807,0,0,57841,202,8,33,9,41,25,0,0,0,11,435,113,0,1111,17,031,690500,17031690500
Census Tract 6909; Cook County; Illinois,3891,77,3520,0,37,36927,1192,381,23,21,25,0,88,149,41,89,2015,347,11,1121,17,031,690900,17031690900
Census Tract 6910; Cook County; Illinois,2400,32,2111,0,70,64361,593,472,0,145,48,0,34,57,0,59,1049,43,0,1224,17,031,691000,17031691000
Census Tract 6911; Cook County; Illinois,3177,0,3168,0,2,55170,649,253,201,42,24,0,29,211,18,18,1530,94,27,898,17,031,691100,17031691100
Census Tract 6912; Cook County; Illinois,2019,12,1975,0,12,34444,733,88,114,38,0,0,0,0,19,14,841,76,15,1057,17,031,691200,17031691200
Census Tract 6913; Cook County; Illinois,2465,0,2356,99,0,55203,610,406,112,121,0,0,0,77,97,73,1146,193,0,1033,17,031,691300,17031691300
Census Tract 6914; Cook County; Illinois,2793,1,2589,19,108,35495,786,132,79,191,33,20,47,70,45,31,1087,251,0,1269,17,031,691400,17031691400
Census Tract 6915; Cook County; Illinois,1794,73,1632,0,88,24101,811,151,37,49,21,41,22,0,0,18,903,301,14,1035,17,031,691500,17031691500
Census Tract 7001; Cook County; Illinois,3819,124,1892,4,1676,79659,596,130,142,140,0,47,65,153,23,20,1966,120,0,1200,17,031,700100,17031700100
Census Tract 7002; Cook County; Illinois,6914,552,990,0,5372,74125,1474,552,61,207,108,41,74,54,79,98,3510,405,165,1171,17,031,700200,17031700200
Census Tract 7003.01; Cook County; Illinois,6063,1003,199,66,4726,84667,635,423,235,109,16,40,136,116,42,11,2884,251,118,1419,17,031,700301,17031700301
